"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Janus Henderson Group plc ","NYSE","JHG","Financials",1934,"EU",2000,"BBB+","BBB+","Public Investment Firm",164.9,25.25,3312.3,2767,1754.4,821.9,784.7,501.9,1118.6,178.8,6727.5,445.5,4826.6,2.96,2.15,9,520,9,466.03,10
"Integer Holdings Corporation ","NYSE","ITGR","Health Care",1970,"US/CA",9000,"BB-","BB-","Public Company",33.1,69.58,3311.4,1221.1,338.4,218.5,131.8,78.1,17.9,355.3,2582.2,900.7,1354.7,2.36,4.58,3,291.8,1,174.74,2
"Advantage Solutions Inc. ","NasdaqGS","ADV","Communication Services",1987,"US/CA",45000,"B+","B+","Public Company",318.5,4,3299.1,3602.3,616.9,483.8,249.8,70.8,164.6,111.2,5854.3,2104.5,2582.3,0.223,0.667,3,506.9,3,442.08,3
"Sylvamo Corporation ","NYSE","SLVM","Materials",1898,"US/CA",7500,"BB","BB","Public Company",44,47.52,3295.2,3502,1338,682,538,121,180,1204,2597,1442,182,2.74,8.57,1,729,1,586,1
"PT Aneka Tambang Tbk ","IDX","ANTM","Materials",1968,"APAC",3969,"B+","B+","Public Company",24030.8,0.136,3281.1,2698.5,589.6,397.3,332.4,187.9,357.2,1273.1,2310.4,448.1,1462.6,0.008,0.012,10,425,11,361,11
"Yuexiu Transport Infrastructure Limited ","SEHK","1052","Industrials",1996,"APAC",2006,"BBB-","BBB-","Public Company",1673.2,0.487,3280.2,612.1,297.5,402.7,240.3,192.9,459.4,9.42,5613.6,2630.7,2278.2,0.115,0.065,5,440.6,5,247.81,3
"Buzzi Unicem S.p.A. ","BIT","BZU","Materials",1872,"EU",9706,"BBB","BBB","Public Company",185.1,16.88,3279.9,3920.4,1423,801.5,568.6,440,1368.8,3588.4,7871.9,1382.2,4977.5,2.32,2.45,12,796.1,12,514.77,12
"Mytilineos S.A. ","ATSE","MYTIL","Industrials",1908,"EU",3085,"BB-","BB-","Public Company",138.4,16.17,3273.9,3029.7,500.1,513.7,429.6,262.8,685.4,1678.8,5787.8,1599,1843.4,1.93,2.61,1,620.7,4,549.6,1
"Rent-A-Center, Inc. ","NasdaqGS","RCII","Consumer Discretionary",1960,"US/CA",14290,"BB-","BB-","Public Company",59.2,28.82,3271,4583.5,2215.7,370.9,204.8,46.6,108.3,599.4,2993.3,1867.7,513.3,0.841,4.72,7,539.1,6,458.97,5
"MaxLinear, Inc. ","NasdaqGS","MXL","Information Technology",2003,"US/CA",1503,"BB","BB","Public Company",78.3,40.7,3238.4,892.4,590.5,224.3,140.7,103,130.6,88.2,1050.4,339.7,489.2,1.34,4.05,11,390.4,3,369.9,11
"Sappi Limited ","JSE","SAP","Materials",1936,"AFME",12800,"BB-","BB-","Public Company",568.6,3,3199.9,5265,1209,1070,787,545,366,3912,6186,2318,1970,0.971,0.97,3,1001,2,726,4
"Trinseo PLC ","NYSE","TSE","Materials",2015,"US/CA",3054,"B","B","Public Company",35,30.26,3198.4,4827.5,605.1,492.3,284.5,271.1,573,804.3,4712.2,2411.7,1013.1,7.17,3.26,5,482,4,289.4,3
"Graham Holdings Company ","NYSE","GHC","Consumer Discretionary",1877,"US/CA",14930,"BB","BB","Public Company",4.84,584.47,3186.8,3186,1163.6,406.3,269.3,152.4,145.9,906.1,7425.5,1157.9,4439.6,30.9,53.8,1,300.6,1,165.8,1
"Minerva S.A. ","BOVESPA","BEEF3","Consumer Staples",1957,"LATAM",21000,"BB","BB","Public Company",584.2,3.14,3139.5,4839.7,1032.6,530.5,464.4,145.7,1310.6,822.3,3602,2413,117.4,0.238,0.42,6,597,7,553.37,6
"Babcock International Group PLC ","LSE","BAB","Industrials",1891,"EU",28341,"BBB-","BBB-","Public Company",505.2,3.81,3129.3,5391.9,630.6,357.5,252.3,215.8,1506.8,1373.5,6044.5,2819.9,922.1,0.427,0.4,9,501.1,7,312.3,4
"Colbún S.A. ","SNSE","COLBUN","Utilities",1986,"LATAM",1158,"BBB","BBB","Public Company",17536.2,0.095,3121.9,1439.7,670.4,444.7,245.4,635.6,392.4,4535,6602.5,2349.7,2841.4,0.036,0.01,3,524,3,352.9,2
"Central China Real Estate Limited ","SEHK","832","Real Estate",1992,"APAC",3494,"CCC+","CCC+","Public Company",3050.5,0.068,3109.1,6605,918,400.9,362.8,95.2,929,1228.2,22952.3,3560.1,2006,0.033,0.024,1,498.5,3,462.51,4
"Arko Corp. ","NasdaqCM","ARKO","Consumer Discretionary",2020,"US/CA",11236,"B+","B+","Public Company",120.1,10.11,3091.4,7417.4,1047,251.4,153.1,82.4,252.1,1806.3,2942.3,2124.4,353.7,0.62,0.593,4,291.9,4,166.03,4
"Arch Resources, Inc. ","NYSE","ARCH","Energy",1969,"US/CA",3303,"B","B","Public Company",18.6,170.09,3075.4,2173.2,1338.8,1226.2,1074.8,995.2,325.2,1138.9,2117.2,582.8,683.9,63.2,45.1,4,1137,5,992.26,4
"Korn Ferry ","NYSE","KFY","Industrials",1969,"US/CA",10779,"BB","BB","Public Company",53.5,65.63,3072.2,2626.7,768.4,518.5,482.9,326.4,978.1,305.9,3464.5,598,1549.6,6.04,5.86,5,515.5,5,443.17,4
"Terex Corporation ","NYSE","TEX","Industrials",1986,"US/CA",8600,"BB-","BB-","Public Company",67.8,36.56,3053.7,3886.8,749.1,372,323.6,232.9,266.9,528.8,2863.5,767.4,1109.6,3.35,4.38,14,489.5,12,441.11,14
"Tri Pointe Homes, Inc. ","NYSE","TPH","Consumer Discretionary",2009,"US/CA",1390,"BB-","BB-","Public Company",101.6,18.65,3045.6,3982.2,1077.8,726.7,698.3,504.5,681.5,125.2,4336.2,1415,2447.6,4.75,4.38,7,678.8,2,556.8,3
"Usinas Siderúrgicas de Minas Gerais S.A. ","BOVESPA","USIM5","Materials",1950,"LATAM",13175,"BB","BB","Public Company",1230.9,1.82,3027.6,6055.1,1734.1,1579.8,1406.3,1156.8,1138.1,1989.6,7086.1,1274.3,4371.8,0.94,0.531,6,1328.1,6,1116.36,4
"Movida Participações S.A. ","BOVESPA","MOVI3","Industrials",2006,"LATAM",3266,"BB-","BB-","Public Company",361.3,2.88,3017.8,957.1,632.2,577.6,463.3,187.5,826.1,2178.9,3897.5,2650.1,589.5,0.55,0.517,6,790.6,8,580.63,7
"Tanger Factory Outlet Centers, Inc. ","NYSE","SKT","Real Estate",1981,"US/CA",442,"BBB-","BBB-","Public Investment Firm",104.4,16.39,3011.2,435.4,325.4,230.2,133.7,42.9,161.3,1735.2,2157.4,1486.4,499.8,0.407,0.686,4,224,4,105.08,2
"Kontoor Brands, Inc. ","NYSE","KTB","Consumer Discretionary",2018,"US/CA",14000,"BB","BB","Public Company",55.4,41.44,2992.1,2475.9,1152.6,389.3,351.6,250.1,185.3,160.1,1533,848.8,148.1,4.41,4.2,7,408,6,322.99,5
"Citycon Oyj ","HLSE","CTY1S","Real Estate",1988,"EU",254,"BBB-","BBB-","Public Company",168,7.15,2991,325.4,212,161.9,159,121.4,62.2,4768.1,5462.3,2136.2,2831.2,0.522,0.527,3,188.7,2,189.26,2
"Wolverine World Wide, Inc. ","NYSE","WWW","Consumer Discretionary",1883,"US/CA",4400,"BB","BB","Public Company",78.7,21.46,2969.6,2414.9,1105.6,161.4,125.8,119.7,161.7,267.2,2586.4,1123.3,644.4,1.44,2.18,10,303.7,8,259.6,9
"Patrick Industries, Inc. ","NasdaqGS","PATK","Consumer Discretionary",1959,"US/CA",11000,"BB-","BB-","Public Company",22.9,60.64,2960.1,4078.1,1057.6,642.8,523.7,347.6,122.8,477.7,2650.7,1448,767.6,15.4,10.7,6,530.4,5,412.75,7
"Minerals Technologies Inc. ","NYSE","MTX","Materials",1968,"US/CA",3961,"BB","BB","Public Company",32.6,64.52,2950,1858.3,468.3,354.4,259.2,171.6,299.5,1098.7,3374.2,1079.9,1579.5,5.17,5.98,4,383.6,4,284.05,3
"Century Communities, Inc. ","NYSE","CCS","Consumer Discretionary",2002,"US/CA",1600,"BB-","BB-","Public Company",32.3,50.84,2938.4,4216.3,1191.9,793.9,783.3,580.1,316.3,41.9,3496.9,1348.2,1764.5,17.3,16.6,3,794.5,2,766.3,2
"EnPro Industries, Inc. ","NYSE","NPO","Industrials",2002,"US/CA",4400,"BB","BB","Public Company",20.8,100.7,2921.3,1141.8,455.3,220.6,126.3,179.2,338.1,289.3,2969.8,1180.2,1316.7,8.66,7.23,3,281.9,3,166.45,2
"abrdn plc ","LSE","ABDN","Financials",1825,"EU",5000,"A-","A-","Public Investment Firm",2090.6,1.76,2914.5,2281.6,1776.5,364.5,235.7,724.2,2578.1,253.2,15460.7,1260.6,10637.5,0.34,0.121,13,358.2,3,332.09,8
"CONSOL Energy Inc. ","NYSE","CEIX","Energy",1860,"US/CA",1575,"B-","B-","Public Company",34.9,75.86,2913,1269.7,557.9,399.2,172.9,125.4,149.9,1671.8,2573.5,673.9,672.8,3.62,19.2,1,1053.3,2,754.75,1
"Victory Capital Holdings, Inc. ","NasdaqGS","VCTR","Financials",2013,"US/CA",485,"BB-","BB-","Public Company",68.4,28.51,2909.8,890.3,492.9,439.5,408.4,294.4,69.5,25.3,2579.7,1127.9,929.9,4.3,4.44,9,428,8,395.6,6
"Sanmina Corporation ","NasdaqGS","SANM","Information Technology",1980,"US/CA",32000,"BB+","BB+","Public Company",57.8,52.08,2888.1,6756.6,593,440,330.4,248,650,601,4206.7,405.1,1878.6,3.93,5.49,5,532.9,3,418.78,4
"Compañía Cervecerías Unidas S.A. ","SNSE","CCU","Consumer Staples",1850,"LATAM",9395,"BBB","BBB","Public Company",369.5,5.58,2854.6,2916.3,1318.9,450.6,325.1,181.8,311.7,1467.8,3341.3,685,1673.1,0.492,0.455,5,453.9,6,298.41,8
"Masonite International Corporation ","NYSE","DOOR","Industrials",1925,"US/CA",10300,"BB+","BB+","Public Company",22.3,90.09,2835.6,2596.9,652.5,406.4,317.8,138.6,381.4,803.2,2246.6,1084,699.8,5.94,10.6,9,464.3,9,357.59,8
"Genesis Energy Limited ","NZSE","GNE","Utilities",1998,"APAC",1204,"BBB+","BBB+","Public Company",1049.5,1.83,2779.8,1763.8,274,260.1,139.7,138.1,65.7,2505.4,3281.3,929.4,1480.9,0.132,0.08,4,286.2,5,151.84,5
"NexTier Oilfield Solutions Inc. ","NYSE","NEX","Energy",1973,"US/CA",3340,"B+","B+","Public Company",244.1,10.29,2777.5,1423.4,439.1,294.8,83.2,44.1,110.7,684.2,1457.6,448.1,547,0.185,1.79,6,777.1,7,461.88,4
"Alpha Metallurgical Resources, Inc. ","NYSE","AMR","Materials",2016,"US/CA",3560,"B","B","Public Company",17.3,168.04,2754.1,2258.6,1718.7,1664.8,1511.3,1315.8,81.2,811.5,1857.7,453.6,546.9,71.2,51.2,3,1168.4,3,1248.2,3
"Kennametal Inc. ","NYSE","KMT","Industrials",1938,"US/CA",8666,"BBB","BBB","Public Company",81.3,26.18,2745.8,2012.5,653.5,369.9,238.2,144.6,85.6,1049.2,2573.5,663.3,1291.2,1.74,1.83,9,372.7,8,228.27,8
"RadNet, Inc. ","NasdaqGM","RDNT","Health Care",1981,"US/CA",7020,"B","B","Public Company",57.3,21.99,2745.2,1324.2,308.5,186.6,80.6,23.3,134.6,1068.5,2058.5,1397.8,346.2,0.429,0.458,3,212.1,2,87.92,3
"Coca-Cola Içecek Anonim Sirketi ","IBSE","CCOLA","Consumer Staples",1990,"AFME",9868,"BBB-","BBB-","Public Company",254.4,8.59,2742.1,1661,705.6,428.7,346.6,180.3,313.7,928.2,2483.2,711.3,1133.8,0.709,0.937,7,587,12,401.23,9
"Vishay Intertechnology, Inc. ","NYSE","VSH","Information Technology",1962,"US/CA",22800,"BB+","BB+","Public Company",142.8,21.03,2737.1,3240.5,982.7,701.3,537.1,349.3,774.1,1097.1,3543.3,579,1746.7,2.41,2.68,5,710,3,547.83,3
"Hecla Mining Company ","NYSE","HL","Materials",1891,"US/CA",1650,"B+","B+","Public Company",541.6,4.35,2692.4,807.5,323.9,226.9,73.4,1.53,210,2323.2,2728.8,533.9,1760.8,0.002,0.169,6,413.8,2,96.07,2
"AZZ Inc. ","NYSE","AZZ","Industrials",1956,"US/CA",3885,"B","B","Public Company",24.8,45.47,2685.5,902.7,251.8,169.4,120.7,85.8,15.1,274.1,1133,269.4,667.4,3.46,4.35,2,334.7,2,231.5,2
"Allegiant Travel Company ","NasdaqGS","ALGT","Industrials",1997,"US/CA",5226,"B+","B+","Public Company",18,100.47,2685.3,1707.9,438.8,228.6,92.4,46.4,363.4,2389.6,3991.1,1876.7,1223.6,2.55,5.95,10,432.9,5,214.6,8
"Transportadora de Gas del Sur S.A. ","BASE","TGSU2","Energy",1992,"LATAM",1108,"CCC+","CCC+","Public Company",752.8,3.07,2609.1,866.4,340.2,330.2,254.5,185.1,43.1,1462.4,2027.2,512,1174.3,0.246,0.424,1,459.5,2,205.87,1
"Intertrust N.V. ","ENXTAM","INTER","Industrials",1952,"EU",4493,"BB","BB","Public Company",90.4,19.27,2604.5,649.7,294.2,168.3,105.9,30.6,154.7,125.5,2451.7,1150.8,991.6,0.339,1.48,3,217.4,4,184.58,3
"Deluxe Corporation ","NYSE","DLX","Industrials",1915,"US/CA",6250,"B+","B+","Public Company",43.1,21.02,2603.8,2022.2,1212,339.5,208.3,57.9,41.2,184.2,3074.4,1785.2,574.6,1.36,4.16,2,422.4,2,200.68,2
"Elekta AB (publ) ","OM","EKTA B","Health Care",1972,"EU",4700,"BBB-","BBB-","Public Company",382.1,6,2601.7,1482.6,550.3,184.8,151.8,106.6,313.6,196.6,2680.6,580.4,908.6,0.279,0.393,7,293.6,6,194.78,9
"Enel Generación Chile S.A. ","SNSE","ENELGXCH","Utilities",1943,"LATAM",650,"BBB","BBB","Public Company",8201.8,0.143,2579.8,2209.3,187.3,136.6,68,98.8,4.46,2644.8,3875.5,1220,1773,0.012,0.03,1,478.1,1,395.61,1
"Adtalem Global Education Inc. ","NYSE","ATGE","Consumer Discretionary",1987,"US/CA",4682,"BB-","BB-","Public Company",45.2,41.12,2578.6,1387.1,727.3,301.1,159.3,317.7,347,467.9,3029.2,1066.7,1505.1,6.57,4.06,3,352.1,1,286.14,3
"Fnac Darty SA ","ENXTPA","FNAC","Consumer Discretionary",1954,"EU",21648,"BB+","BB+","Public Company",26.7,34.32,2565.4,9146.6,2511.7,347.5,266.9,131.2,1343.2,1921.6,7915.3,2347.8,1778.2,4.92,5.09,8,616.6,3,253.88,6
"Mativ Holdings, Inc. ","NYSE","MATV","Materials",1995,"US/CA",5100,"BB-","BB-","Public Company",54.9,24.83,2561.8,1440,354.3,186.9,91.7,78.9,74.7,489,2420.3,1298.4,682.2,2.49,3.14,1,439.7,1,355.1,1
"Embotelladora Andina S.A. ","SNSE","ANDINA-B","Consumer Staples",1946,"LATAM",16167,"BBB","BBB","Public Company",946.6,1.86,2543.8,2601.8,1040,454.8,350.7,182.7,357.2,840.8,3457.9,1261.3,1292.7,0.193,0.2,7,484.5,9,368.14,10
"Everi Holdings Inc. ","NYSE","EVRI","Consumer Discretionary",1998,"US/CA",1550,"BB-","BB-","Public Company",89.8,19.9,2539.5,660.4,583.5,335.2,208.2,160.2,302,132.7,1635.7,999.1,174.5,1.76,1.37,9,382.8,9,228.25,9
"GrafTech International Ltd. ","NYSE","EAF","Industrials",1886,"US/CA",1353,"BB-","BB-","Public Company",256.6,6.55,2539.2,1345.8,694.9,682.1,620.8,500.5,57.5,509.1,1412.3,1044.5,23.4,1.9,1.42,3,547.4,5,466,4
"AB Ignitis grupe ","NSEL","IGN1L","Utilities",2008,"EU",3884,"BBB+","BBB+","Public Company",70.5,19.67,2539.1,2125.5,612.8,399.4,264.7,218,510.7,3033.2,4834.8,1599.4,2102.8,2.97,2.3,2,372.8,2,257.04,1
"Canada Goose Holdings Inc. ","TSX","GOOS","Consumer Discretionary",1957,"US/CA",4353,"B+","B+","Public Company",105.3,19.47,2526.9,878.3,577.3,143.2,112.7,69.5,230.1,263.4,1072,496.3,342.2,0.649,1.23,13,280.2,11,197.03,12
"First Advantage Corporation ","NasdaqGS","FA","Industrials",2003,"US/CA",5500,"B+","B+","Public Company",153.2,15.07,2521.9,712.3,398.8,230.2,89.6,58.9,292.6,154.3,1886.6,554.8,1132.2,0.392,1.09,7,266.4,7,118.04,4
"Talos Energy Inc. ","NYSE","TALO","Energy",2011,"US/CA",443,"B-","B-","Public Company",82.5,21.46,2495.9,1241.2,1310.9,774.4,320.1,193,69.9,2394.3,2766.8,1021,760.7,2.35,5.23,5,1056.2,5,754.67,3
"Laredo Petroleum, Inc. ","NYSE","LPI","Energy",2006,"US/CA",273,"B-","B-","Public Company",16.7,80.53,2486,1394.1,1412.3,875.6,582.8,528.9,56.8,2261.7,2551.8,1439.4,513.8,32.1,32.4,8,1097.5,7,802.74,4
"TTM Technologies, Inc. ","NasdaqGS","TTMI","Information Technology",1978,"US/CA",16100,"BB","BB","Public Company",102.2,17.43,2481.4,2248.7,398.5,259.5,133.6,74.4,537.7,686.6,3025.5,968.7,1455.4,0.717,1.67,6,340.2,3,245.95,5
"Pitney Bowes Inc. ","NYSE","PBI","Industrials",1920,"US/CA",11500,"BB","BB","Public Company",173.9,3.2,2463.2,3673.6,1101.3,301.8,132.9,35.5,732.5,637.6,4958.9,2606.5,112.6,0.204,0.233,3,360.5,1,160.63,2
"Global Partners LP ","NYSE","GLP","Energy",2005,"US/CA",2960,"B+","B+","Public Company",34,27.84,2445.4,13248.3,926.3,359.3,255.9,240.9,10.8,1349.1,2831.2,1572.4,527.8,6.69,3.09,1,290,2,213.54,1
"Frontdoor, Inc. ","NasdaqGS","FTDR","Consumer Discretionary",1971,"US/CA",2081,"BB-","BB-","Public Company",81.5,25.25,2427.6,1602,750,227,194,118,262,83,1069,672,2,1.41,1.16,6,192.7,8,143.53,8
"China Modern Dairy Holdings Ltd. ","SEHK","1117","Consumer Staples",2005,"APAC",7876,"BBB","BBB","Public Company",7915.7,0.134,2427.4,1114.3,451.2,373.4,329.9,153.7,297.2,2431,3726.6,1427.1,1749.6,0.02,0.047,1,429.3,3,341.79,3
"H&E Equipment Services, Inc. ","NasdaqGS","HEES","Industrials",1961,"US/CA",2157,"BB-","BB-","Public Company",35.7,35.11,2401.6,1062.8,476,195.1,163.8,125.3,357.3,263.5,2080.4,1416.2,303.4,3.45,3.11,5,514.4,5,210.59,4
"Prosegur Compañía de Seguridad, S.A. ","BME","PSG","Industrials",1976,"EU",152571,"BBB","BBB","Public Company",529.9,1.84,2384,3978.2,952.4,393.4,244.2,57,665.2,775.3,4340,2026.8,808.3,0.107,0.192,9,476.9,12,275.37,9
"Pediatrix Medical Group, Inc. ","NYSE","MD","Health Care",1979,"US/CA",5000,"BB-","BB-","Public Company",83.2,19.46,2382.6,1911.2,512,263.7,230.1,84.3,387.4,135.6,2722.5,1065.8,896.7,0.99,1.94,9,272.7,7,237.56,7
"Vista Outdoor Inc. ","NYSE","VSTO","Consumer Discretionary",2014,"US/CA",6900,"BB","BB","Public Company",56.5,30.6,2368.9,3044.6,1163.3,752.4,677,496.5,22.6,289.3,2396.2,758,1124.4,8.74,6.78,8,658.7,7,569.3,6
"Winnebago Industries, Inc. ","NYSE","WGO","Consumer Discretionary",1958,"US/CA",6532,"BB-","BB-","Public Company",31.8,63.72,2367.9,3629.8,906.1,627.8,578.2,392.1,434.6,224.8,2062.6,563.9,1056.9,11.9,9.94,10,486.8,11,447.22,10
"CoreCivic, Inc. ","NYSE","CXW","Industrials",1983,"US/CA",10350,"BB-","BB-","Public Company",117.6,9.78,2363.8,1862.6,490.7,357,222.9,87.6,299.6,2453.2,3498.9,1687.2,1372.5,0.727,0.828,3,342.1,1,203.92,3
"Synthomer plc ","LSE","SYNT","Materials",1863,"EU",4632,"BB","BB","Public Company",467.3,2.39,2362,3154.3,681,376.8,303.5,114,684.2,688.3,3318.7,897.7,1398.7,0.252,0.405,11,411.6,10,294.14,10
"Befesa S.A. ","XTRA","BFSA","Industrials",1987,"EU",1583,"BB+","BB+","Public Company",40,45.86,2315,934.4,433.6,204.4,139.2,108.9,254.8,613.5,2042.8,790.1,718.2,2.72,3.06,10,250.8,10,188.29,10
"Janus International Group, Inc. ","NYSE","JBI","Industrials",2002,"US/CA",1630,"B","B","Public Company",146.6,10.85,2303,750.2,299.4,172.1,131.9,73.3,13.2,41.6,1122,718.2,268.3,0.508,0.762,5,223.3,5,183.86,5
"The Greenbrier Companies, Inc. ","NYSE","GBX","Industrials",1974,"US/CA",10300,"BB-","BB-","Public Company",32.6,31.42,2294,1748,276.8,166,65,58.5,646.8,710,3390.7,1241.3,1506.1,1.8,2.36,6,290.5,5,194.14,5
"Boise Cascade Company ","NYSE","BCC","Industrials",2004,"US/CA",6210,"BB-","BB-","Public Company",39.4,70.52,2292.7,7926.1,1753,1158.3,1056.7,781.5,748.9,587,2572.6,544.5,1352.6,19.8,11.5,5,929.9,5,758.67,6
"GCP Applied Technologies Inc. ","NYSE","GCP","Materials",2015,"US/CA",1800,"BB","BB","Public Company",74,31.63,2281,970.1,323.4,112,67.2,11,500.6,261.9,1446.6,400.3,671.9,0.149,0.673,1,131,1,85,1
"Adecoagro S.A. ","NYSE","AGRO","Consumer Staples",2002,"EU",7938,"BB","BB","Public Company",111.1,9.52,2252.3,1124.4,438.3,421,250.5,177.9,199.8,1701.8,2582.4,1064.5,1047.8,1.59,1.23,3,486.4,5,323.18,5
"Strabag SE ","WBAG","STR","Industrials",1835,"EU",74436,"BBB","BBB","Public Company",102.6,39.32,2199.3,17408.6,6566.2,1325.1,780.8,666.1,3370,2764.4,13904,1357.5,4630.8,6.49,4.18,2,1213.7,2,670.63,2
"Mueller Water Products, Inc. ","NYSE","MWA","Industrials",1857,"US/CA",3400,"BB","BB","Public Company",156.7,11.96,2193.2,1111,370.3,199,142.4,87.9,227.5,310.5,1518,476.6,694.9,0.557,0.626,7,213,7,147.59,7
"EnQuest PLC ","LSE","ENQ","Energy",2010,"EU",789,"B-","B-","Public Company",1846.2,0.348,2184.9,1265.8,358.2,647.9,383,377,286.7,2822,4365.6,2054,520.8,0.217,0.196,4,1069.3,3,712.42,3
"Telkom SA SOC Limited ","JSE","TKG","Communication Services",1991,"AFME",11853,"BB","BB","Public Company",488.1,2.69,2174,2927.8,1218.9,691.6,312.7,179.8,221.4,2957,4512.1,1212.1,2326.8,0.367,0.259,4,670.7,5,266.07,5
"JOANN Inc. ","NasdaqGM","JOAN","Consumer Discretionary",1943,"US/CA",13530,"B-","B-","Public Company",40.7,8.59,2159.8,2417.6,1150.7,102.4,29.1,6.5,22.5,1074.8,2362.2,1709.2,149.8,0.157,0.33,3,140.8,4,60.69,4
"N-able, Inc. ","NYSE","NABL","Information Technology",2000,"US/CA",1448,"B+","B+","Public Company",180.2,10.35,2158.5,346.5,309.9,63.1,39.9,13.4,66.7,75,1055.7,381.5,618.4,0.075,0.303,5,112.8,5,90.72,5
"Golden Entertainment, Inc. ","NasdaqGM","GDEN","Consumer Discretionary",1998,"US/CA",6300,"B+","B+","Public Company",28.5,42.16,2152,1096.5,496.1,262.7,158.3,105.4,220.5,1083.5,1615.6,1206.8,319.5,3.64,3.21,6,285.7,7,165,6
"BAIC Motor Corporation Limited ","SEHK","1958","Consumer Discretionary",1958,"APAC",18694,"BBB","BBB","Public Company",8015.3,0.297,2149.2,27691.9,5688.4,4446.3,3458.5,578,6449.1,7961,28467.8,3536.4,11788.4,0.072,0.07,13,4830.7,12,3360.27,11
"Playtech plc ","LSE","PTEC","Consumer Discretionary",1999,"EU",7698,"BB-","BB-","Public Company",299.3,5.26,2126.9,1370.9,1370.9,239.1,127.6,767.2,654.4,417,4153.6,1287.6,1798.2,2.57,0.415,5,372.4,6,213.25,4
"Nexa Resources S.A. ","NYSE","NEXA","Materials",1956,"EU",5760,"BB+","BB+","Public Company",132.4,6.01,2122,2622.1,731.5,803.8,536.4,154.5,743.8,2016.6,4904.8,1719,1644.3,1.17,0.728,3,731.4,4,563.37,4
"CSG Systems International, Inc. ","NasdaqGS","CSGS","Information Technology",1994,"US/CA",5200,"BB+","BB+","Public Company",30.8,58.08,2121.8,1046.5,511.5,154.8,118.5,44.8,205.6,159.6,1387.1,468.1,440.2,1.42,3.73,3,234.7,2,172.75,2
"Audacy, Inc. ","NYSE","AUD","Communication Services",1968,"US/CA",4234,"CCC+","CCC+","Public Company",145.3,0.562,2117.6,1219.4,263,154.9,109,4.8,59.4,605.6,3421.9,2062.1,652.2,0.035,0.098,2,188.3,4,132.73,4
"Conduent Incorporated ","NasdaqGS","CNDT","Information Technology",2016,"US/CA",58000,"B+","B+","Public Company",215.8,4.36,2103.9,4140,920,321,100,107,415,512,4036,1668,1274,0.453,0.375,4,402,4,193,4
"Cascades Inc. ","TSX","CAS","Materials",1964,"US/CA",10000,"BB-","BB-","Public Company",100.8,7.18,2085.4,3126.1,333.1,187.1,47.4,102.5,137.5,1992.9,3608.1,1205.1,1522.7,1.01,0.995,7,369.1,7,137.11,3
"AutoCanada Inc. ","TSX","ACQ","Consumer Discretionary",2009,"US/CA",2550,"B+","B+","Public Company",26.4,23.91,2033.5,3677.2,763.9,214.2,199.7,114.5,81,489.2,1784.8,1150.4,410.4,4.19,3.7,8,221.2,6,183.19,3
"PT Japfa Comfeed Indonesia Tbk ","IDX","JPFA","Consumer Staples",1971,"APAC",30391,"BB-","BB-","Public Company",11620.3,0.108,2014.2,3150,470.2,240.7,167.9,106.6,76.2,817.4,2006.7,714,919.7,0.009,0.011,6,319,6,242,8
"thyssenkrupp AG ","XTRA","TKA","Materials",1811,"EU",97152,"BB-","BB-","Public Company",622.5,5.46,1994.2,39424,5853,2773.7,1537.7,901.1,10401,7548.7,42664.6,6286.5,12569.5,1.45,1.32,6,2362.5,7,1435.03,6
"Health and Happiness (H&H) International Holdings Limited ","SEHK","1112","Consumer Staples",1999,"APAC",3315,"BB+","BB+","Public Company",645.2,1.32,1990.4,1817.8,1148.6,245.1,208.6,80,377.8,92.8,3192.7,1524.4,926.4,0.124,0.206,10,287,14,243,12
"Coronado Global Resources Inc. ","ASX","CRN","Materials",2011,"APAC",1577,"B+","B+","Public Company",1676.5,1.28,1987.7,2148.5,1602.9,1314.3,1134.1,847.4,437.9,1339.4,2461.4,343.8,1077.5,0.505,0.408,6,1154.7,8,969.86,8
"Nufarm Limited ","ASX","NUF","Materials",1916,"APAC",2737,"BB","BB","Public Company",380.2,3.8,1958.5,2329.2,709.5,262.9,157.6,77,524.6,319.7,3166.8,754,1536.6,0.188,0.215,8,298.1,11,149.21,10
"PGT Innovations, Inc. ","NYSE","PGTI","Industrials",1980,"US/CA",5300,"B+","B+","Public Company",59.9,22.49,1957.2,1161.5,512.3,205,150.4,69.7,96.1,273.6,1460.6,722.7,566,1.09,1.66,4,254.5,3,187.31,3
"Steelcase Inc. ","NYSE","SCS","Industrials",1912,"US/CA",11700,"BB+","BB+","Public Company",112.8,12.2,1956.8,2772.7,799.3,126,43.3,20.7,200.9,602.6,2261,708.9,852.2,0.184,0.84,4,221.1,4,131.37,3
